Frequency,Words
51,opmerking,past,wees,draagvlak,"luisteren,",verwoorden,passie,speelt,leren.,meetings,dagelijkse,gebeurt,Persoonlijke,zoeken.,beoordelen,bescheidenheid,spelen,Duidelijke
50,bestaande,plezier,benaderen.,bv,they,Collega's,give,fijn,vooraf,"medewerkers,",bang,langere,goals,treden.,effectief,bepaald,brede,doing,feiten,zoveel,doelen.,dag
49,"samenwerken,",afgelopen,precies,afstemming,Take,ken,detail,positive,towards,enorm,improve,presentatie,opbouwen,rest,onvoldoende,enthousiasmeren,"doet,",tav
48,creatief,gezamenlijk,blijkt,(niet,idee.,kaders,formuleren,merken,oprechte,conclusies,actiever,doorgaan.,1),verbetervoorstellen,HR,bedrijf,how,werkdruk,ambitieus,kans,gewenste,effect,different,adviezen,toepassing,hangen,needs
47,Samenwerking,could,relevant,weten.,Don't,feedback.,"organisatie,",n,harde,let,daarvan,eisen,geduld,person,3.,ideeen.,problems,uitdagingen,adviseren,(met,tijd.,Duidelijker,werkvloer,streven,algemeen
46,snelle,service,daadwerkelijk,hand,besteden,uitstralen.,den,af.,accepteren,Pro,slag,vaardigheden,wachten,collegas,ervaren.,probeert,Sociaal,You,nogal,know
45,resultaat.,status,antwoorden,Vragen,overtuigingskracht,uitgaan,groeien,sales,100%,ongevraagd,continue,kern,eigenschap,stel,aansturen,nicht,neer,lijnen,lead
44,langer,succes,constructieve,aardig,voeren.,aanzien,lopende,Proactief,benaderbaar,makkelijker,invulling,behouden.,vertalen,kanten,delegeren.,zelfverzekerd,klantgericht,solutions,stress,namelijk,groter,Geef,durf
43,Vertrouwen,richten,men,pakt,teams,"enthousiast,",within,vlak,gang,gegeven,vasthouden.,Alles,uitleg,collegiaal,Heldere,"op,",suggesties,Denken,schakelen,support,t.a.v.,dienstverlening,zullen,Delen,prioriteit,mijzelf,blijken,better,view
42,wereld,"plannen,",auf,bereikt,planmatig,twijfelen,"gedrevenheid,",doorzettingsvermogen,toetsen,snelheid,taak,verliezen.,show,in.,Deltares,"hebt,",relevante,daarom,hiervoor,Openheid,"collega,",mit,stand,opzoeken,Mijn,zouden,mail,Gestructureerd
41,daarna,Tijdens,Prettige,overal,nieuw,ontwikkeling.,risico,niks,lef,kijken.,leuke,gebruiken.,(maar,afwachten,"hebben,",realiseren.,Maak,"delen,",daarop,efficient,2),leergierig,praten.,some,perspectief,afgesproken,Dan,senior,eerlijke
40,samenwerken.,constructief,learn,lopen.,drukte,before,vraagstukken,Drive,uitwerken,development,participant,"bent,",Afspraken,manier.,betrokkenen,emotioneel,persoonlijkheid,hetzelfde,Do,voorkomen,bereidheid,Rustig,moeite,mis,terugkoppeling,outside,context,thinking,coaching,overigens,klantgerichtheid
39,omstandigheden,c.q.,Team,start,zelfs,argumentatie,level,there,steviger,enorme,ja,motivatie,aanpak.,vorige,use,zoekt,Prettig,ervaringen,betekent,bijdragen,bouwen,uitleggen,commentaar,"over,",signalen,leiderschap,gemakkelijk,vallen,"samenwerking,"
38,terugkoppelen,leveren.,focussen,"brengen,",product,lossen,without,zijn/haar,gevolgen,who,soort,information,brengt,professioneel,auch,Die,regie,prestaties,teamleider,Try,argumenten.,Denk,trekken.,leggen.,Inzet,:,professional,gedachten,often,waarvan,twijfel
37,verbanden,Volgens,oprecht,werkhouding,acteren,managers,leidinggeven,praktische,beleid,ver,taken.,Jezelf,Ben,daadkracht,Eerder,terughoudend,kennen,(nog),"humor,",verbale,meestal,..,"omgang,",kwetsbaar,NVT,vak,individuele,successen,great,(of,does,yourself,Geeft,Nieuwe,begrijpen,krachtiger,oplossing.,valkuil
36,toegankelijk,tegenover,clients,diensten,achieve,performance,We,"mensen,",stil,leidt,No,),Zo,dragen,breed,lekker,gehele,understand,sturing,verbinding,kwaliteit.,uiten.,try,humor.,"wel,",zelfverzekerder,(meer,veld,stuk,Moet,Vaak,verbaal,ook.,innemen,pro-actieve,"Open,",technisch,??,combinatie,risico's,quality,aspect,come,gehaald
35,Frank,"mening,",Tevens,verbinden,Pieter,periode,deskundigheid,sure,partij,volgende,2,feit,high,"wordt,",zicht,oor,ongeduldig,Ruimte,Paul,praktijk,extern,onderzoek,only,mooie,recht,verwachten,Maarten,going,projects,merk,(als,Sociale,"planning,",doelstelling,van.
34,doelstellingen.,proactive,"niet,",proces.,gezicht,voorzichtig,weleens,"zeggen,",presentaties,doen!,"instelling,",Rob,elke,Daardoor,kaart,fouten,haalbaar,specifiek,valt,commerciele,investeren,vorm,Eerst,Heb,initieren,may,vastleggen,vindt.,really,gezegd,just,Du,Van,kleine,gemotiveerd
33,betrouwbare,von,gezamenlijke,client,og,ask,betrokkenheid.,slaan,bredere,Openstaan,reacties,(te),xxx,Zorg,cq,projectleider,half,adviseur,gesprek.,adequaat,ambitieuze,betrekking,uitstellen,volgen.,Brunel,confrontatie,effectiever,ingaan,"overkomen,",well,Heel,omgang.,absoluut,koers,members,"handelen,",Aan,customers,opinion,m.i.,werkt.,begin,hiervan,need,staat.,gaten,"ontwikkelen,",bevorderen,Vasthouden,Daarbij,"projecten,"
32,MT,one,waardering,terecht,N.v.t.,non,Sometimes,Continue,benutten,insteek,luistert,letten,geinteresseerd,uitgevoerd,alvorens,Afwachtende,strong,verandering,enkele,des,back,afleiden,hoofdlijnen,"werkzaamheden,",Dingen,vergroten,gedragen,voor.,zijn;,Durf,hart,More,right,involved,oplossingsgericht,"inhoud,","opstellen,",(zie,"uitstralen,",communiceert,planning.,uitbouwen
31,technical,afronden,Erik,slecht,kiezen,persoon.,instelling.,verliezen,possible,others.,"ideeen,","afdeling,",overdragen,creren,enige,doordat,Neemt,flexibiliteit,aansluiten,enthousiasme.,verbeterd,innovatieve,krachtig,bewaren,friendly,activities,situatie.,eigenwijs,kracht.,gesprekken.,Bescheidenheid,sprake,(op,behalen.,noemen,Naar,huis,creeeren,toegevoegde,discussies.,bespreken.,share,knelpunten,IT,oplossen.,Hiermee,et
30,mehr,perfect,nauwkeurig,problem,senioriteit,develop,verbeterpunten,opdrachtgevers,ervan,:-),vormen,decisions,Resultaatgericht,waarschijnlijk,plezierige,im,luisteren.,Make,tegelijkertijd,Alleen,hoofd-,gewerkt,Humor,verdere,mede,kost,zichzelf.,menselijke,bondig,eigenschappen,voorop,paden,->,allerlei,spelen.,Prioriteiten,Sneller,initiative,toon,taking,overtuigend,raken,"oppakken,",functioneren.,Indien,hou,Hoe,geregeld,etc,capaciteiten,(wat,Marco,sta,making,emotionele,karakter,(zowel,profileren.,ambities,eindresultaat
